年,月,日,时,实际直调负荷,实际联络线受电负荷,实际风电总加,实际光伏总加,实际非市场化核电总加,实际自备机组总加,实际地方电厂发电总加,实际抽蓄,实际火力发电,日前直调负荷,日前联络线受电负荷,日前风电总加,日前光伏总加,日前非市场化核电总加,日前自备机组总加,日前地方电厂发电总加,日前火力发电,现货价格,日前价格,价格差值,直调负荷差值,联络线受电负荷差值,风电总加差值,光伏总加差值,非市场化核电总加差值,自备机组总加差值,地方电厂发电总加差值,火力发电差值,价格差值预测（现货价格-日前价格）,日前价格预测
2022,1,1,0,231103.85,41656.3,36644.6,-23.69,9864.87,19567.32,32552.44,2573.4,88268.61,240660.54,37648,35721.62,0,9860,19260,32560,105610.92,150.9575,277.35,-126.39,-9556.69,4008.3,922.98,-23.69,4.87,307.32,-7.56,-17342.31,-126.39,277.35
2022,1,1,1,225585.63,38282.01,38533.73,-23.56,9868.48,19622.93,32590.7,1531.4,85179.94,235605.57,33508,36812.4,0,9860,19260,32560,103605.17,123.925,274.5,-150.58,-10019.94,4774.01,1721.33,-23.56,8.48,362.93,30.7,-18425.23,-150.58,274.5
2022,1,1,2,221082.94,36944.23,40011.71,-24.43,9871.14,19497.42,32613.98,-129,82297.89,231344.38,32092,37749.03,0,9860,19260,32560,99823.35,8.93,256.492,-247.56,-10261.44,4852.23,2262.68,-24.43,11.14,237.42,53.98,-17525.46,-247.56,256.49
2022,1,1,3,217175.4,36153.54,42340.57,-24.1,9874.78,19317.39,32652.69,-2689.6,79550.13,228364.3,32092,38668.35,0,9860,19260,32560,95923.95,-80,238.18,-318.18,-11188.9,4061.54,3672.22,-24.1,14.78,57.39,92.69,-16373.82,-318.18,238.18
2022,1,1,4,216809.07,36640.16,44298.06,-25.11,9874.58,19257.53,32592.34,-4232.2,78403.71,228093.36,32092,39701.31,0.01,9860,19260,32560,94620.04,-13.25,238.45,-251.7,-11284.29,4548.16,4596.75,-25.12,14.58,-2.47,32.34,-16216.33,-251.7,238.45
2022,1,1,5,220092.35,36797.32,44718.84,-24.05,9870.19,19227.81,32548.24,-2895.6,79849.6,234175.41,32377,40830.8,11.6,9860.29,19260,32560,99275.72,77.7225,264.6,-186.88,-14083.06,4420.32,3888.04,-35.65,9.9,-32.19,-11.76,-19426.12,-186.88,264.6
2022,1,1,6,224122.04,39553.7,46367.45,-24.76,9869.82,19301.88,32714.85,-3403.5,79742.6,242446.54,35227,41583.05,36.49,9866.86,19260,32560,103913.14,176.8525,268.165,-91.31,-18324.5,4326.7,4784.4,-61.25,2.96,41.88,154.85,-24170.54,-91.31,268.17
2022,1,1,7,234698.24,44433.3,48386.73,282.96,9873.05,19104.38,32671.35,-1313.7,81260.17,254074.88,38947,41729.34,878.15,10052.99,19260,32560,110647.4,204.9725,325.68,-120.71,-19376.64,5486.3,6657.39,-595.19,-179.94,-155.62,111.35,-29387.23,-120.71,325.68
2022,1,1,8,241511.87,51240.04,44422.53,4192.81,9868.1,19027.74,32691.12,-531.7,80601.23,265538.22,43583,41307.33,5291.62,11002.68,19260,32560,112533.59,-7.75,292.165,-299.92,-24026.35,7657.04,3115.2,-1098.81,-1134.58,-232.26,131.12,-31932.36,-299.92,292.17
2022,1,1,9,232200.7,53458.87,31664.02,8068.13,9869.24,19071.83,32703.32,-2069.4,79434.69,264629.58,48372,36594.77,11478.37,12239.14,19260,32560,104125.3,-80,158.958,-238.96,-32428.88,5086.87,-4930.75,-3410.24,-2369.9,-188.17,143.32,-24690.61,-238.96,158.96
2022,1,1,10,220326.32,53502.29,15775.3,8596.81,9871.71,18882.61,32648.92,250.3,80798.38,257666.23,48013,32959,16461.51,13209.84,19260,32560,95202.88,-80,-80,0,-37339.91,5489.29,-17183.7,-7864.7,-3338.13,-377.39,88.92,-14404.5,0,-80
2022,1,1,11,210007.44,43958.19,10469.17,8934.78,9868.1,18840.91,32690.32,2234.3,83011.67,246449.07,38269,31771.82,19349.97,13765.61,19260,32560,91472.67,-80,-80,0,-36441.63,5689.19,-21302.65,-10415.19,-3897.51,-419.09,130.32,-8461,0,-80
2022,1,1,12,200071.82,41281.57,9913.14,9723.2,9872.29,18562.87,32662.06,-1559.6,79616.29,231543.85,35584,30173.95,19793.32,13851.23,19260,32560,80321.35,-80,-80,0,-31472.03,5697.57,-20260.81,-10070.12,-3978.94,-697.13,102.06,-705.06,0,-80
2022,1,1,13,202482.11,40530.62,10304.13,11055.28,9871.15,18656.56,32683.87,-1041.8,80422.3,230030.6,36215,27416.11,18209.71,13483.28,19260,32560,82886.5,-80,-80,0,-27548.49,4315.62,-17111.98,-7154.43,-3612.13,-603.44,123.87,-2464.2,0,-80
2022,1,1,14,208402.78,45942.45,10248.67,9430.68,9868.67,19044.3,32756.2,0,81111.81,234320.76,42525,24209.85,13882.39,12616.77,19260,32560,89266.75,-15,74.25,-89.25,-25917.98,3417.45,-13961.18,-4451.71,-2748.1,-215.7,196.2,-8154.94,-89.25,74.25
2022,1,1,15,223038.11,45988.06,17333.51,5849.19,9870.39,19043.17,32869.22,405.4,91679.17,245815.5,43156,21125.4,7387.27,11346.99,19260,32560,110979.84,267.65,378.47,-110.82,-22777.39,2832.06,-3791.89,-1538.08,-1476.6,-216.83,309.22,-19300.67,-110.82,378.47
2022,1,1,16,242422.57,50999.98,16059.83,1029.76,9872.48,19316.23,32705.85,1894.9,110543.54,265082.46,43156,19963.23,1521.86,10176.76,19260,32560,138444.61,365.65,569.285,-203.64,-22659.89,7843.98,-3903.4,-492.1,-304.28,56.23,145.85,-27901.07,-203.64,569.29
2022,1,1,17,260637.05,52836.55,16117.27,414.63,9868.48,19450.92,32640.2,3590.7,125718.3,279926.92,45462,21166.13,75.99,9868.44,19260,32560,151534.36,538.865,817.055,-278.19,-19289.87,7374.55,-5048.86,338.64,0.04,190.92,80.2,-25816.06,-278.19,817.06
2022,1,1,18,257369.04,55453.85,17166.54,310.81,9868.48,19476.55,32688.06,3483.5,118921.25,278554.19,46492,23875.57,30.52,9860.72,19260,32560,146475.38,435.315,613,-177.69,-21185.15,8961.85,-6709.03,280.29,7.76,216.55,128.06,-27554.13,-177.69,613
2022,1,1,19,254754.75,55225.6,20855.91,38.48,9871.71,19421.87,32728.53,3577.6,113035.05,274766.87,46492,27946.27,22.3,9860,19260,32560,138626.3,389.525,502.755,-113.23,-20012.12,8733.6,-7090.36,16.18,11.71,161.87,168.53,-25591.25,-113.23,502.76
2022,1,1,20,252723.89,50306.22,26471.91,33.33,9873.04,19512.72,32825.4,850.1,112851.17,271564.79,46492,32580.54,0.03,9860,19260,32560,130812.22,416.07,483.37,-67.3,-18840.9,3814.22,-6108.63,33.3,13.04,252.72,265.4,-17961.05,-67.3,483.37
2022,1,1,21,245413.02,47297.05,32384.62,34.27,9875.33,19504.43,32902.29,0,103415.03,266569.91,43058,36740.86,0,9860,19260,32560,125091.05,333.135,413.275,-80.14,-21156.89,4239.05,-4356.24,34.27,15.33,244.43,342.29,-21676.02,-80.14,413.28
2022,1,1,22,232001.36,42354.55,37068.79,33.98,9869.81,19546.58,32841.07,0,90286.58,247492.36,37289,40255.23,0,9860,19260,32560,108268.13,224.9825,298.59,-73.61,-15491,5065.55,-3186.44,33.98,9.81,286.58,281.07,-17981.55,-73.61,298.59
2022,1,1,23,224924.92,36864.47,42907.65,34.31,9870.19,19522.99,32898.93,-561.5,83387.88,238694.78,32377,42827.58,0,9860,19260,32560,101810.2,85.5,265.45,-179.95,-13769.86,4487.47,80.07,34.31,10.19,262.99,338.93,-18422.32,-179.95,265.45
2022,1,2,0,217306.06,41012.39,42708.01,-349.82,9873.04,18912.33,32927.64,-4252.9,76475.37,229608.62,41912,44327.37,0,9852,20140,32560,80817.25,-80,-80,0,-12302.56,-899.61,-1619.36,-349.82,21.04,-1227.67,367.64,-4341.88,0,-80
2022,1,2,1,213137.18,41459.13,37847.74,-301.86,9870.57,18868.5,32900.83,-4220.4,76712.67,224565.89,41912,44421.9,0,9852,20140,32560,75679.99,-80,-80,0,-11428.71,-452.87,-6574.16,-301.86,18.57,-1271.5,340.83,1032.68,0,-80
2022,1,2,2,209712.61,41953.72,33315.74,19.85,9870.57,18950.34,32979.18,-4184.1,76807.31,219915.17,41912,42840.87,0,9852,20140,32560,72610.3,-80,-80,0,-10202.56,41.72,-9525.13,19.85,18.57,-1189.66,419.18,4197.01,0,-80
2022,1,2,3,208343.77,42154.42,31549.52,34.01,9868.29,19089.42,32968.67,-3635.6,76315.04,217008.21,41912,39974.45,0,9852,20140,32560,72569.76,-80,-80,0,-8664.44,242.42,-8424.93,34.01,16.29,-1050.58,408.67,3745.28,0,-80
2022,1,2,4,208904.6,41975.61,29176.06,-24.61,9869.43,18439.56,33072.53,-517.7,76913.72,216869.75,41912,36048.28,0.02,9852,20140,32560,76357.45,-80,-80,0,-7965.15,63.61,-6872.22,-24.63,17.43,-1700.44,512.53,556.27,0,-80
2022,1,2,5,215195.04,42432.69,31355.28,-24.85,9872.09,18287.22,33017.14,0,80255.47,220950.76,42197,31366.53,31.83,9852.29,20140,32560,84803.11,36.4525,76.75,-40.3,-5755.72,235.69,-11.25,-56.68,19.8,-1852.78,457.14,-4547.64,-40.3,76.75
2022,1,2,6,223026.53,45281.31,30454.58,-24.68,9868.48,19163.26,32877.9,0,85405.68,228897.33,45227,26331.73,36.46,9858.02,20140,32560,94744.12,179.4275,232.75,-53.32,-5870.8,54.31,4122.85,-61.14,10.46,-976.74,317.9,-9338.44,-53.32,232.75
2022,1,2,7,241340.51,51571.06,26738.08,763.88,9870,19557.74,32814.01,1245.6,98780.14,246082.84,51883,21703.29,1053.54,10074.28,20140,32560,108668.73,289.5075,376.075,-86.57,-4742.33,-311.94,5034.79,-289.66,-204.28,-582.26,254.01,-9888.59,-86.57,376.08
2022,1,2,8,253359.33,60267.24,20211.69,7162.51,9867.34,19731.05,32728.72,2877.6,100513.18,261960.53,60953,16231.16,6298.77,11158.52,20140,32560,114619.08,304.5,442.53,-138.03,-8601.2,-685.76,3980.53,863.74,-1291.18,-408.95,168.72,-14105.9,-138.03,442.53
2022,1,2,9,242373.02,64893.96,12583.5,15806.05,9866.58,19603.56,32595.87,2361.7,84661.8,255833.12,64612,10684.03,13298.36,12551.58,20140,32560,101987.15,-60,335.727,-395.73,-13460.1,281.96,1899.47,2507.69,-2685,-536.44,35.87,-17325.35,-395.73,335.73
2022,1,2,10,229309.03,63968.51,7280.66,20736.14,9871.52,19030.1,32647.56,-2133,77907.54,245641.88,64327,6646.79,18182.53,13559.51,20140,32560,90226.05,-80,213.212,-293.21,-16332.85,-358.49,633.87,2553.61,-3687.99,-1109.9,87.56,-12318.51,-293.21,213.21
2022,1,2,11,217916.16,53027.51,4710.83,22671.5,9870.2,19250.97,32552.42,-2364.9,78197.63,235469.33,52839,4308.46,20556.65,14035.61,20140,32560,91029.61,-80,215.853,-295.85,-17553.17,188.51,402.37,2114.85,-4165.41,-889.03,-7.58,-12831.98,-295.85,215.85
2022,1,2,12,207760.42,51256.03,2776.81,17118.52,9870.96,19174.9,32622.16,-3110.5,78051.54,227461.3,48732,3090.23,20574.84,14032.11,20140,32560,88332.12,-80,197.777,-277.78,-19700.88,2524.03,-313.42,-3456.32,-4161.15,-965.1,62.16,-10280.58,-277.78,197.78
2022,1,2,13,215777.29,51140.42,2201.59,17391.79,9870.96,19188.64,32581.5,248.8,83153.59,234945.09,49017,2422.52,18550.09,13562.07,20140,32560,98693.41,43.625,298.65,-255.03,-19167.8,2123.42,-220.93,-1158.3,-3691.11,-951.36,21.5,-15539.82,-255.03,298.65
2022,1,2,14,223970.17,54226.98,1689.27,15433.84,9870.19,19407.75,32651,149.4,90541.74,242375.66,54139,2154.78,13870.9,12626.36,20140,32560,106884.62,202.1375,389.858,-187.72,-18405.49,87.98,-465.51,1562.94,-2756.17,-732.25,91,-16342.88,-187.72,389.86
2022,1,2,15,241079.24,54838.05,1691.89,7201.58,9872.1,19356.47,32719.9,0,115399.25,255360.4,54424,2262.9,7250.33,11325.58,20140,32560,127397.59,427.9925,583.45,-155.46,-14281.16,414.05,-571.01,-48.75,-1453.48,-783.53,159.9,-11998.34,-155.46,583.45
2022,1,2,16,263470.87,60626.55,2433.25,1178.88,9868.86,19518.88,32667.6,0,137176.85,273903.55,60793,2977.86,1420.41,10169.49,20140,32560,145842.79,742.8527,890.41,-147.56,-10432.68,-166.45,-544.61,-241.53,-300.63,-621.12,107.6,-8665.94,-147.56,890.41
2022,1,2,17,279377.49,63275.62,4898.45,247.57,9867.15,19616.55,32868.14,585.1,148018.91,287944.32,63492,4604,43.35,9862.83,20140,32560,157242.14,1019.071,1034.9,-15.83,-8566.83,-216.38,294.45,204.22,4.32,-523.45,308.14,-9223.23,-15.83,1034.9
2022,1,2,18,273922.37,66018.47,9094.16,307.67,9869.24,19658.9,32931.22,2476.7,133566.01,281753.77,65892,7253.72,17.91,9852.72,20140,32560,146037.42,749.75,881.5,-131.75,-7831.4,126.47,1840.44,289.76,16.52,-481.1,371.22,-12471.41,-131.75,881.5
2022,1,2,19,269579.71,66114.88,13885.01,-8.45,9867.16,19726.05,32918.65,3985.6,123090.81,277626.07,65892,10486.36,20.88,9852,20140,32560,138674.83,509.205,725.14,-215.94,-8046.36,222.88,3398.65,-29.33,15.16,-413.95,358.65,-15584.02,-215.94,725.14
2022,1,2,20,265989.07,59872.37,18325.89,-23.36,9867.15,19761.66,32892.8,3876.2,121416.36,272019.45,59526,13197.29,0.06,9852,20140,32560,136744.1,498.245,698.145,-199.9,-6030.38,346.37,5128.6,-23.42,15.15,-378.34,332.8,-15327.74,-199.9,698.15
2022,1,2,21,258102.3,55517.24,19387.56,-22.77,9872.66,19737.36,32924.06,714.4,119971.79,264129.46,55704,15028.6,0,9852,20140,32560,130844.86,511.14,597.77,-86.63,-6027.16,-186.76,4358.96,-22.77,20.66,-402.64,364.06,-10873.07,-86.63,597.77
2022,1,2,22,244951.33,49545.72,19214.24,-22.15,9869.82,19796.49,32874.35,17.6,113655.26,248918,49050,16452.81,0,9852,20140,32560,120863.19,448.525,496.18,-47.66,-3966.67,495.72,2761.43,-22.15,17.82,-343.51,314.35,-7207.93,-47.66,496.18
2022,1,2,23,237040.33,41987.5,19894.86,-22.55,9871.72,19815.36,32859.75,0,112633.69,241690.64,42197,17876.14,0,9852,20140,32560,119065.5,437.14,485.93,-48.79,-4650.31,-209.5,2018.72,-22.55,19.72,-324.64,299.75,-6431.81,-48.79,485.93
2022,1,3,0,230709.82,42126,22458.71,-22.15,9867.72,19751.96,32774.64,0,103752.94,231877.93,42912,22511.94,0,9852,21140,32800,102661.99,336.77,235.21,101.56,-1168.11,-786,-53.23,-22.15,15.72,-1388.04,-25.36,1090.95,101.56,235.21
2022,1,3,1,225633.28,41921.43,25750.34,-22.36,9867.72,19711.06,32728.4,0,95676.69,227375.7,42912,24140.2,0,9852,21140,32800,96531.5,214.72,182.525,32.2,-1742.42,-990.57,1610.14,-22.36,15.72,-1428.94,-71.6,-854.81,32.2,182.53
2022,1,3,2,221613.56,41977.29,27718.05,-22.14,9866.96,19742.09,32809.68,-534.5,90056.13,222587.45,42912,24964.67,0,9852,21140,32800,90918.78,157.3075,150.563,6.74,-973.89,-934.71,2753.38,-22.14,14.96,-1397.91,9.68,-862.65,6.74,150.56
2022,1,3,3,219724.37,41785.41,28446.63,-22.3,9864.3,19530.24,32816.1,-1062.2,88366.19,220441.13,42912,24800.77,0,9852,21140,32800,88936.36,157.075,139.975,17.1,-716.76,-1126.59,3645.86,-22.3,12.3,-1609.76,16.1,-570.17,17.1,139.98
2022,1,3,4,220167.89,41870.12,28389.71,-22.05,9869.05,19435.86,32742.73,-1061.8,88944.27,222140.47,42912,24141.04,0.02,9852,21140,32800,91295.41,159.25,154.037,5.21,-1972.58,-1041.88,4248.67,-22.07,17.05,-1704.14,-57.27,-2351.14,5.21,154.04
2022,1,3,5,226884.63,42112.97,26684.28,-22.38,9870.57,19736.72,32834.79,-1061.4,96729.08,227244.79,43197,22841.21,28.84,9852,21140,32800,97385.74,257.0625,205.92,51.14,-360.16,-1084.03,3843.07,-51.22,18.57,-1403.28,34.79,-656.66,51.14,205.92
2022,1,3,6,234573.7,45410.29,24259.62,-22.67,9870.77,20062.63,32850.35,-1059.6,103202.31,234600.39,46227,20837.94,71.47,9852,21140,32800,103671.98,360.045,333.95,26.1,-26.69,-816.71,3421.68,-94.14,18.77,-1077.37,50.35,-469.67,26.1,333.95
2022,1,3,7,252346.73,51804.43,19838.42,417.89,9869.43,20444.89,32753.08,269.6,116948.99,253006.41,53195,18473.97,944.4,9852,21140,32800,116601.04,449.895,467.7,-17.81,-659.68,-1390.57,1364.45,-526.51,17.43,-695.11,-46.92,347.95,-17.81,467.7
2022,1,3,8,272224.36,61165.49,14124.8,3715.72,9867.72,20661.04,32573.32,0,130116.27,271526.1,62765,15632.42,5610.63,9852,21140,32800,123726.05,600.955,502.46,98.5,698.26,-1599.51,-1507.62,-1894.91,15.72,-478.96,-226.68,6390.22,98.5,502.46
2022,1,3,9,268036.41,65338.11,8705.34,9006.34,9866.58,20716.69,32432.99,0,121970.36,268291.85,66612,10486.2,11970.17,9852,21140,32800,115431.48,511.45,386.77,124.68,-255.44,-1273.89,-1780.86,-2963.83,14.58,-423.31,-367.01,6538.88,124.68,386.77
2022,1,3,10,257593.7,64109.06,5369.91,13345.07,9870.38,20454.18,32185.2,0,112259.9,262408.51,66327,7064.07,16662.92,9852,21140,32800,108562.52,417.48,253.895,163.59,-4814.81,-2217.94,-1694.16,-3317.85,18.38,-685.82,-614.8,3697.38,163.59,253.9
2022,1,3,11,245210.9,52570.45,4745.55,15899.26,9871.14,20664.94,32194.21,-809.7,110075.05,254734.35,54526,6289.8,19140.41,9852,21140,32800,110986.14,413.1,227.975,185.13,-9523.45,-1955.55,-1544.25,-3241.15,19.14,-475.06,-605.79,-911.09,185.13,227.98
2022,1,3,12,234183.48,49267.68,3825.37,16339.57,9871.52,20437.1,32349.79,-2401.9,104494.35,243783.79,50232,6338.12,19382.89,9852,21140,32800,104038.78,307.055,158.963,148.09,-9600.31,-964.32,-2512.75,-3043.32,19.52,-702.9,-450.21,455.57,148.09,158.96
2022,1,3,13,242557.06,49129.51,4057,14799.39,9878.58,20613.52,32399.87,-4181.3,115860.49,250004.97,50517,6901.77,17705.88,9852,21140,32800,111088.32,482.5,233.415,249.09,-7447.91,-1387.49,-2844.77,-2906.49,26.58,-526.48,-400.13,4772.17,249.09,233.42
2022,1,3,14,249074.7,54450.23,4240.78,11315.31,9879.15,20551.99,32367.51,-3114.7,119384.43,255119.11,55639,7552.97,13524.02,9852,21140,32800,114611.12,506.255,326.965,179.29,-6044.41,-1188.77,-3312.19,-2208.71,27.15,-588.01,-432.49,4773.31,179.29,326.97
2022,1,3,15,260994.42,54313.81,5173.99,5558.62,9874.39,20654.97,32216.31,648.9,132553.43,265016.93,55924,8011.25,7319.98,9852,21140,32800,129969.7,653.135,525.105,128.03,-4022.51,-1610.19,-2837.26,-1761.36,22.39,-485.03,-583.69,2583.73,128.03,525.11
2022,1,3,16,277651.67,60544.53,7048.48,1036.45,9880.1,20767.52,32326.35,1595.4,144452.84,281326.32,62605,8962.7,1566.54,9852,21140,32800,144400.08,926.0675,815.87,110.2,-3674.65,-2060.47,-1914.22,-530.09,28.1,-372.48,-473.65,52.76,110.2,815.87
2022,1,3,17,288821.3,63306.56,9723.09,393.14,9876.29,20777.24,32377.49,1590.6,150776.89,293600.26,65492,10469.12,79.63,9852,21140,32800,153767.51,1034.5625,1022.293,12.27,-4778.96,-2185.44,-746.03,313.51,24.29,-362.76,-422.51,-2990.62,12.27,1022.29
2022,1,3,18,282479.15,65477.11,10250.97,188.82,9874.95,20783.22,32400.77,1594.6,141908.71,288151.61,67892,11883.91,30.28,9852,21140,32800,144553.42,801.6,812.1,-10.5,-5672.46,-2414.89,-1632.94,158.54,22.95,-356.78,-399.23,-2644.71,-10.5,812.1
2022,1,3,19,278300.72,65574.7,10852.15,10.1,9874.96,20818.39,32428.28,1332.1,137410.04,283349.28,67892,12836.19,20.91,9852,21140,32800,138808.18,686.2,689.3,-3.1,-5048.56,-2317.3,-1984.04,-10.81,22.96,-321.61,-371.72,-1398.14,-3.1,689.3
2022,1,3,20,274205.44,59707.17,11561.69,6.51,9876.85,20857.21,32416.06,147.2,139632.75,278367.2,61213,13146.86,0,9852,21140,32800,140215.34,760.5,734.68,25.82,-4161.76,-1505.83,-1585.17,6.51,24.85,-282.79,-383.94,-582.59,25.82,734.68
2022,1,3,21,262665.25,55913.62,10261.7,6.9,9876.49,20846.18,32599.22,0,133161.14,268375.82,57204,13116.9,0,9852,21140,32800,134262.92,631.625,620.388,11.24,-5710.57,-1290.38,-2855.2,6.9,24.49,-293.82,-200.78,-1101.78,11.24,620.39
2022,1,3,22,247432.32,49249.95,9975.11,7.31,9875.91,20810.81,32679.84,0,124833.39,252368.06,50237,13158.87,0,9852,21140,32800,125180.19,511.05,504.56,6.49,-4935.74,-987.05,-3183.76,7.31,23.91,-329.19,-120.16,-346.8,6.49,504.56
2022,1,3,23,242027.93,42267.71,10924.14,7.25,9872.67,20669.02,32653.47,587.3,125046.37,245693.63,43197,13168.65,0,9852,21140,32800,125535.98,506.275,501.208,5.07,-3665.7,-929.29,-2244.51,7.25,20.67,-470.98,-146.53,-489.61,5.07,501.21
2022,1,4,0,235500.87,43270.92,10884.99,6.97,9874.58,20782.07,32603.11,685.3,117392.93,234748.27,43312,15954.19,0,9852,21340,32800,111490.08,432.86,317.91,114.95,752.6,-41.08,-5069.2,6.97,22.58,-557.93,-196.89,5902.85,114.95,317.91
2022,1,4,1,230999.83,43484.29,12044.7,6.93,9872.87,20717.27,32577.32,139.4,112157.05,230176.38,43312,16675.22,0,9852,21340,32800,106197.16,361.6925,311.93,49.76,823.45,172.29,-4630.52,6.93,20.87,-622.73,-222.68,5959.89,49.76,311.93
2022,1,4,2,227461.55,43330.4,11744.01,6.97,9872.1,20845.44,32614.14,-1055.9,110104.39,226695.93,43312,17081.87,0,9852,21340,32800,102310.06,314.98,299.035,15.95,765.62,18.4,-5337.86,6.97,20.1,-494.56,-185.86,7794.33,15.95,299.04
2022,1,4,3,225376.98,43207.65,11668.64,6.87,9873.05,20677.25,32601.86,-1055.6,108397.26,224826.97,43312,17167.69,0,9852,21340,32800,100355.28,310.145,284.1,26.05,550.01,-104.35,-5499.05,6.87,21.05,-662.75,-198.14,8041.98,26.05,284.1
2022,1,4,4,227022.81,43147.78,12964.01,7.39,9869.81,20578.5,32621.67,-1055.4,108889.05,225581.9,43312,17271.3,0.02,9852,21340,32800,101006.58,311.82,285.655,26.17,1440.91,-164.22,-4307.29,7.37,17.81,-761.5,-178.33,7882.47,26.17,285.66
